Дата,ПодрКод,НомКод,Кіл_сть,СумаПродажу,ЦінаПродажу
14.10.2023 0:00,34,52 615,1,"34,5","34,5"
20.10.2023 0:00,34,25 914,0,0,0
16.07.2023 0:00,34,25 602,1,"42,5","42,5"
28.06.2023 0:00,34,2 296,0,0,0
25.09.2023 0:00,34,33 224,0,0,0
23.06.2023 0:00,34,47 369,0,0,0
09.09.2023 0:00,34,25 687,0,0,0
16.06.2023 0:00,34,67 245,3,175,"58,3333333333333"
04.06.2023 0:00,34,25 741,4,"197,2","49,3"
06.04.2023 0:00,34,25 902,1,"47,4","47,4"
04.07.2023 0:00,34,25 936,1,"34,9","34,9"
04.10.2023 0:00,34,25 912,0,0,0
15.06.2023 0:00,34,31 371,0,0,0
09.07.2023 0:00,34,25 928,2,"52,4","26,2"
17.10.2023 0:00,34,25 926,1,"60,8","60,8"
09.09.2023 0:00,34,25 620,0,0,0
25.04.2023 0:00,34,25 635,1,"36,1","36,1"
27.09.2023 0:00,34,62 806,0,0,0
13.09.2023 0:00,34,61 256,3,"133,8","44,6"
21.08.2023 0:00,34,2 593,2,"104,76","52,38"
27.08.2023 0:00,34,61 117,0,0,0
07.08.2023 0:00,34,59 934,0,0,0
29.07.2023 0:00,34,25 914,5,"176,5","35,3"
21.08.2023 0:00,34,25 930,1,"62,9","62,9"
15.06.2023 0:00,34,37 383,1,"63,3","63,3"
01.04.2023 0:00,34,68 131,0,0,0
02.07.2023 0:00,34,69 088,0,0,0
11.05.2023 0:00,34,47 372,0,0,0
02.06.2023 0:00,34,48 860,4,102,"25,5"
24.05.2023 0:00,34,69 089,0,0,0
26.06.2023 0:00,34,61 243,0,0,0
06.09.2023 0:00,34,61 615,4,110,"27,5"
11.07.2023 0:00,34,25 928,1,"26,2","26,2"
21.10.2023 0:00,34,25 933,0,0,0
01.04.2023 0:00,34,97 795,2,"69,8","34,9"
17.07.2023 0:00,34,67 521,0,0,0
29.06.2023 0:00,34,61 243,0,0,0
01.05.2023 0:00,34,25 913,0,0,0
02.04.2023 0:00,34,97 785,4,312,78
01.06.2023 0:00,34,25 589,1,"59,5","59,5"
20.08.2023 0:00,34,25 607,3,"76,8","25,6"
05.09.2023 0:00,34,67 948,2,"79,98","39,99"
04.07.2023 0:00,34,25 951,0,0,0
14.05.2023 0:00,34,25 801,0,0,0
03.09.2023 0:00,34,25 924,1,"59,7","59,7"
29.10.2023 0:00,34,25 936,0,0,0
01.08.2023 0:00,34,25 914,0,0,0
02.07.2023 0:00,34,67 233,1,"64,8","64,8"
02.05.2023 0:00,34,48 868,0,0,0
06.09.2023 0:00,34,61 157,0,0,0
07.06.2023 0:00,34,31 215,0,0,0
09.10.2023 0:00,34,31 299,0,0,0
19.10.2023 0:00,34,25 914,0,0,0
20.09.2023 0:00,34,61 126,0,0,0
21.07.2023 0:00,34,17 353,0,0,0
08.08.2023 0:00,34,2 171,0,0,0
29.09.2023 0:00,34,48 868,1,"35,99","35,99"
27.04.2023 0:00,34,31 215,0,0,0
13.05.2023 0:00,34,25 882,2,"54,4","27,2"
24.05.2023 0:00,34,52 992,0,0,0
18.06.2023 0:00,34,37 383,0,0,0
21.05.2023 0:00,34,25 936,0,0,0
18.06.2023 0:00,34,107 752,0,0,0
26.06.2023 0:00,34,3 357,11,231,21
23.09.2023 0:00,34,61 618,1,"29,9","29,9"
27.07.2023 0:00,34,107 752,0,0,0
13.07.2023 0:00,34,107 753,0,0,0
12.05.2023 0:00,34,25 767,3,"154,8","51,6"
12.04.2023 0:00,34,97 134,0,0,0
15.09.2023 0:00,34,31 301,0,0,0
26.04.2023 0:00,34,25 911,0,0,0
10.09.2023 0:00,34,44 423,0,0,0
30.10.2023 0:00,34,52 425,0,0,0
02.07.2023 0:00,34,2 296,0,0,0
05.09.2023 0:00,34,37 383,0,0,0
22.04.2023 0:00,34,31 369,0,0,0
19.08.2023 0:00,34,34 690,0,0,0
11.07.2023 0:00,34,67 524,1,"45,5","45,5"
14.04.2023 0:00,34,61 166,0,0,0
26.04.2023 0:00,34,25 851,0,0,0
04.09.2023 0:00,34,31 745,0,0,0
02.08.2023 0:00,34,26 083,0,0,0
23.07.2023 0:00,34,29 594,2,"54,4","27,2"
30.06.2023 0:00,34,25 914,0,0,0
08.04.2023 0:00,34,25 931,4,"114,4","28,6"
