InvoiceDate,StockCode,Quantity,UnitPrice,Week,Weekday,Day,TotalPrice
2023-10-02,53487,1,55.1,41,,2,55.1
2023-10-02,53605,,,41,,2,
2023-10-02,61157,,,41,,2,
2023-10-02,61243,,,41,,2,
2023-10-02,66473,1,39.3,41,,2,39.3
2023-10-02,69089,,,41,,2,
2023-10-02,97795,,,41,,2,
2023-10-02,98318,2,72,41,,2,36
2023-10-02,2171,1,77.8,41,,2,77.8
2023-10-02,2173,,,41,,2,
2023-10-02,2501,,,41,,2,
2023-10-02,3357,,,41,,2,
2023-10-02,25591,,,41,,2,
2023-10-02,25602,1,47.2,41,,2,47.2
2023-10-02,25606,,,41,,2,
2023-10-02,25687,,,41,,2,
2023-10-02,25741,4,201.2,41,,2,50.3
2023-10-02,25851,,,41,,2,
2023-10-02,25877,,,41,,2,
2023-10-02,25911,2,94,41,,2,47
2023-10-02,25925,,,41,,2,
2023-10-02,25926,,,41,,2,
2023-10-02,25931,,,41,,2,
2023-10-02,27289,1,81.6,41,,2,81.6
2023-10-02,29099,2,42,41,,2,21
2023-10-02,29594,5,134.8,41,,2,26.96
2023-10-02,31299,,,41,,2,
2023-10-02,31301,,,41,,2,
2023-10-02,31321,,,41,,2,
2023-10-02,31745,,,41,,2,
2023-10-02,33221,,,41,,2,
2023-10-02,47369,,,41,,2,
2023-10-02,48845,,,41,,2,
2023-10-02,59931,,,41,,2,
2023-10-02,61126,,,41,,2,
2023-10-02,61161,1,78,41,,2,78
2023-10-02,61250,2,52.4,41,,2,26.2
2023-10-02,61255,1,68.1,41,,2,68.1
2023-10-02,67948,2,109.2,41,,2,54.6
2023-10-02,69087,,,41,,2,
2023-10-02,70117,,,41,,2,
2023-10-02,97134,,,41,,2,
2023-10-02,101209,2,134,41,,2,67
2023-10-03,2593,2,104.5,41,1,3,52.25
2023-10-03,25605,,,41,1,3,
2023-10-03,25606,,,41,1,3,
2023-10-03,25607,,,41,1,3,
2023-10-03,25619,,,41,1,3,
2023-10-03,25620,,,41,1,3,
2023-10-03,25642,16,654.65,41,1,3,40.915625
2023-10-03,25879,6,169.8,41,1,3,28.3
2023-10-03,25882,,,41,1,3,
2023-10-03,25901,,,41,1,3,
2023-10-03,25913,,,41,1,3,
2023-10-03,25914,,,41,1,3,
2023-10-03,25915,,,41,1,3,
2023-10-03,25923,2,69.4,41,1,3,34.7
2023-10-03,25930,9,551.5,41,1,3,61.2777777777777
2023-10-03,25933,,,41,1,3,
2023-10-03,29813,2,78.87,41,1,3,39.435
2023-10-03,31215,,,41,1,3,
2023-10-03,31301,,,41,1,3,
2023-10-03,32347,,,41,1,3,
2023-10-03,32354,,,41,1,3,
2023-10-03,32356,3,119.97,41,1,3,39.99
2023-10-03,44422,,,41,1,3,
2023-10-03,44425,1,32.7,41,1,3,32.7
2023-10-03,47368,,,41,1,3,
2023-10-03,48845,,,41,1,3,
2023-10-03,50588,,,41,1,3,
2023-10-03,52959,,,41,1,3,
2023-10-03,53486,6,290.4,41,1,3,48.4
2023-10-03,53511,1,16.76,41,1,3,16.76
2023-10-03,61117,,,41,1,3,
2023-10-03,61157,1,81.9,41,1,3,81.9
2023-10-03,61179,,,41,1,3,
2023-10-03,61279,,,41,1,3,
2023-10-03,62806,,,41,1,3,
2023-10-03,69089,,,41,1,3,
2023-10-03,95548,,,41,1,3,
2023-10-03,97786,,,41,1,3,
2023-10-03,98529,,,41,1,3,
2023-10-03,107752,3,88.5,41,1,3,29.5
2023-10-03,107753,2,123.6,41,1,3,61.8
2023-10-03,3378,,,41,1,3,
2023-10-03,25589,,,41,1,3,
2023-10-03,25590,,,41,1,3,
2023-10-03,25687,2,60.4,41,1,3,30.2
2023-10-03,25725,,,41,1,3,
2023-10-03,25767,8,395.28,41,1,3,49.41
2023-10-03,25801,,,41,1,3,
2023-10-03,25883,,,41,1,3,
2023-10-03,25910,,,41,1,3,
2023-10-03,25912,,,41,1,3,
2023-10-03,25924,,,41,1,3,
2023-10-03,27289,1,81.6,41,1,3,81.6
2023-10-03,29594,4,108.8,41,1,3,27.2
2023-10-03,31320,3,94.2,41,1,3,31.4
2023-10-03,31321,,,41,1,3,
2023-10-03,31745,1,43.3,41,1,3,43.3
2023-10-03,33222,3,161.23,41,1,3,53.7433333333333
2023-10-03,33224,,,41,1,3,
2023-10-03,37270,14,366.8,41,1,3,26.2
2023-10-03,37383,,,41,1,3,
2023-10-03,47372,,,41,1,3,
2023-10-03,48860,2,51,41,1,3,25.5
2023-10-03,48861,,,41,1,3,
2023-10-03,48868,,,41,1,3,
2023-10-03,52615,5,170.7,41,1,3,34.14
2023-10-03,52960,,,41,1,3,
2023-10-03,61161,,,41,1,3,
2023-10-03,61162,,,41,1,3,
2023-10-03,61277,,,41,1,3,
2023-10-03,61278,,,41,1,3,
2023-10-03,61615,1,31.9,41,1,3,31.9
2023-10-03,67245,1,67,41,1,3,67
2023-10-03,67945,1,79.8,41,1,3,79.8
2023-10-03,67948,2,109.2,41,1,3,54.6
2023-10-03,69088,,,41,1,3,
2023-10-03,70117,,,41,1,3,
2023-10-03,98466,7,130.2,41,1,3,18.6
2023-10-03,2171,1,77.8,41,1,3,77.8
2023-10-03,2173,,,41,1,3,
2023-10-03,3357,2,42,41,1,3,21
2023-10-03,25591,,,41,1,3,
2023-10-03,25602,4,188.8,41,1,3,47.2
2023-10-03,25741,5,251.5,41,1,3,50.3
2023-10-03,25764,,,41,1,3,
2023-10-03,25851,,,41,1,3,
2023-10-03,25877,,,41,1,3,
2023-10-03,25902,,,41,1,3,
2023-10-03,25911,,,41,1,3,
2023-10-03,25936,1,34.9,41,1,3,34.9
2023-10-03,27286,,,41,1,3,
2023-10-03,31299,,,41,1,3,
2023-10-03,47369,1,40,41,1,3,40
2023-10-03,61243,1,29.6,41,1,3,29.6
2023-10-03,61250,3,78.6,41,1,3,26.2
2023-10-03,61618,,,41,1,3,
2023-10-03,62788,,,41,1,3,
2023-10-03,66305,1,52.6,41,1,3,52.6
2023-10-03,66473,2,87.2,41,1,3,43.6
2023-10-03,69087,,,41,1,3,
2023-10-03,97135,,,41,1,3,
2023-10-03,97785,,,41,1,3,
2023-10-03,98318,,,41,1,3,
2023-10-03,101209,,,41,1,3,
2023-10-03,2266,2,129.6,41,1,3,64.8
2023-10-03,2501,,,41,1,3,
2023-10-03,25617,,,41,1,3,
2023-10-03,25878,11,274.82,41,1,3,24.9836363636363
2023-10-03,25899,,,41,1,3,
2023-10-03,25922,,,41,1,3,
2023-10-03,25925,,,41,1,3,
2023-10-03,25926,,,41,1,3,
2023-10-03,25928,1,26.2,41,1,3,26.2
2023-10-03,25931,1,31.4,41,1,3,31.4
2023-10-03,27285,,,41,1,3,
2023-10-03,29099,6,126,41,1,3,21
2023-10-03,33221,4,79.32,41,1,3,19.83
2023-10-03,34674,,,41,1,3,
2023-10-03,37376,,,41,1,3,
2023-10-03,44423,,,41,1,3,
2023-10-03,44424,,,41,1,3,
2023-10-03,48862,,,41,1,3,
2023-10-03,52425,,,41,1,3,
2023-10-03,53487,,,41,1,3,
2023-10-03,53605,2,86.6,41,1,3,43.3
2023-10-03,59931,,,41,1,3,
2023-10-03,61126,8,496.8,41,1,3,62.1
2023-10-03,61255,5,340.5,41,1,3,68.1
2023-10-03,68132,3,76.5,41,1,3,25.5
2023-10-03,97134,,,41,1,3,
2023-10-03,97795,4,143.21,41,1,3,35.8025
2023-10-04,2171,,,41,2,4,
